NetflixID,Title,Type,ReleaseYear,Synopsis,Runtime,Image,IMDbRating,RT Critic,RT Audience
81194454,She Did That,movie,2019,"Go inside the lives of extraordinary, black female entrepreneurs as they discuss building legacies and pioneering a new future for the next generation.",1h10m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABXhEa8hEUwrxVRxiFtn3Acy2BYLHfFwWgcy4MzOrbtCI18aW2AbdsfyE4EmEKpvMZg5wwNgjih3I6dzzTo9ON9yzLQ.jpg?r=e7d,,,
81055398,"Faith, Hope and Love",movie,2019,"After shattering losses, a recent divorc&eacute;e and a heartbroken widower restore their lives when they partner for a dance competition to save her studio.",1h46m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABf7hMQtAwwKMu0Zhwkz29kjZKvrSu33UzuGtoLL-hGQj-fiyW-cuOyQsFxqMMp1jtbhYBdUq9F3v3b_rI-nQ00qzQw.jpg?r=7c7,,80.0,96.0
81176204,Thambi,movie,2019,"As a tip leads a local politician to his long-estranged son, his daughter has doubts about whether the young man is truly family or just an impostor.",2h27m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABWUbofI2PxLWun1-uippW-PUZyml6P0iY9P2wDWNOQnQXVxzTqaZ2Hg-zgtqBydd2YYX_iLtA_MNbb6V0RmwEVquYQ.jpg?r=6fa,7.4,,57.0
81234400,Tempted,series,2018,Love is just a game for a chaebol heir who agrees to a petty bet with his friends to seduce a college student &mdash; until he starts to fall for her.,,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABW3ltqgDI7dNBG1nY62C13lz3QdnNcqduepDO5FPywrEbTS04v3Ektkj9Fh4DTJ9v2KBBnpQSJ3ZcUaOefLf_hDErg.jpg?r=12e,,,
81234382,Extraordinary You,series,2019,A teen seeks to change the fate that's been set for her after gaining awareness that she's just a side character in a made-up world.,,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABYWAPv9aBizmKe51njqexxkP6wnZgyqhDW8-DZbC9vgalDZD0B4pZ0I49-z645Wff0hJ5ys8UfBhCOTfQceE-08Z4g.jpg?r=8c4,8.2,,
70019060,Porco Rosso,movie,1992,"When sky pirates terrorize the Adriatic Sea, this Italian pilot is the only one brave enough to take them on. Only catch: he's half-man, half-pig.",1h33m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABUel7A1XRdDUe0mwIy1S4qGhZC2feTaXzD3SFbYcxThtEJMwtJ_jMs8z9lmpR7FW23jQJPBYmnXAMDojKG6McaSS9A.jpg?r=94c,7.8,95.0,87.0
80092922,Only Yesterday,movie,1991,From pineapples to first loves: the now-and-then tale of a 27-year-old woman from Tokyo as she takes a trip out of the city and down memory lane.,1h58m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABa6A1yorRExjH8ieMmuc5EK5t8ZTslAxGVjiKNo6y-2S-AbgOnpDNCXN88iO0ca9A6meM0mSclJL-A1KqPxVpIskJQ.jpg?r=aff,7.7,,
80158668,Ocean Waves,movie,1993,"College student Taku recalls transfer student Rikako's arrival two years ago, and the fateful summer that tested his bond with his friend Yutaka.",1h12m,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABfjSQvLIXf1Z-i18w1ftPoBM6pKtylXvmAbFwn3oc0h3mZfMbiouLvgInflRN8sH-jEpEOtKnQaamedbgz1NQ4_xgw.jpg?r=59b,6.8,,
70142821,Tales from Earthsea,movie,2006,"As their world decays, an Archmage guides a troubled prince with a dark side on a journey to find the source of evil and save the women they love.",1h55m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABefzuaGdEZk3AaO-9oZ3sqvTAkBvuVEFI0Byho-Ixkay3pF-Z7sYD4pK8K5UxdF1IzbVslXG-jBLC9vnvkgDoqfkNQ.jpg?r=166,6.5,43.0,46.0
81043813,Love Jacked,movie,2018,"To assert her independence from her rigid father's expectations, a headstrong woman hires a desperate Los Angeles man to pose as her fianc&eacute; in Africa.",1h33m,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABTcnvUUYX_yvyiHx26-RTz7Ucba6zLaHIDM1fJ0S8NrcDRBm-HAkkBB9YqpIYNJLx1ADPcg7H3fj-YR5mBxRYZvZ5Q.jpg?r=6b3,,25.0,92.0
60027106,Kiki's Delivery Service,movie,1989,"In this animated adventure, a young witch moves away from her family to practice her craft, but she finds that making new friends is difficult.",1h43m,https://occ-0-64-58.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABa9HYxGtDILNw25mDOZxDyGYKYXy5KFAMR0P1TtSeLROp_c4TsQvT8hbZa7DQ4o41nOf9w1Jyl2FRanrAxPGhP_kTw.jpg?r=be9,7.9,,
81170445,3 From Hell,movie,2019,"Bloodthirsty backwoods killers break out after ten years in prison, itching to settle scores, and unleash chaos and carnage on anything that moves.",1h55m,https://occ-0-32-34.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABdN_AVnyk38DEmBS0wexsuoTzirFKGNO1Hj0HsyJvkWYvvIWlQNYVFFwHFCr_90UAftN7DfhNVl2q7tC5TNDyZ6rmw.jpg?r=6f4,5.6,53.0,62.0
60027393,Castle in the Sky,movie,1986,"In this children's anime adventure, a young miner and a mysterious girl search for a long-lost island that's rumored to hold great riches.",2h4m,https://occ-0-32-34.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABW5vzmZffmZT5Sd8UMnpL2St1cVubAxqm_i_T4tkLhblgG1iif4JCd-KcNRHgjvlBf1b95fs__PmX11l4TSjVp-jGA.jpg?r=bed,8.0,,
81193309,Itaewon Class,series,2020,"In a colorful Seoul neighborhood, an ex-con and his friends fight a mighty foe to make their ambitious dreams for their street bar a reality.",,https://occ-0-1952-2433.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABY6OuwtJvYwioj-OP8pqG2i4Uqx1RW_DlHT-O2NiaoyvKm7vSQtLP43qV5ob_cvwx2C5UKkIaDyorI6bA5WrsShxFyglGV_t32P2tR6MRTUALPl3moVIkj-Xj73h4YGujkrMR9we7MoGA2ImBs6LY9x42LzZTqjXu6YTGZk.jpg?r=642,,,
80990663,Uncut Gems,movie,2020,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hopes of staying afloat and alive.",2h15m,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABReI4uEb1tB9_lWLEgofconIUo_xEv7C-UCwKWNI_FSSPOo5cJm1FCl5Lbs3zXDDaByP-M1m-DspstjPHuwl_iqyRlZzmDT01OdtW-RO29zGYIohPQvm23evYl4.jpg?r=3a5,,92.0,52.0
81062369,37 Seconds,movie,2020,"Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.",1h55m,https://occ-0-32-34.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABdZwA3S0Vrl7ATmSXeLR2aBL9vBRa4wC5juqbkKGVPtnClwQFYoZv3ZoGJv7dPDKr8OmYcxJidB3L4ycdRpHgvnhm-wYnfFMMLuAENFZmuC3ZGETnF8ggU895Bs.jpg?r=868,,80.0,
81028336,Miss Americana,movie,2020,"In this revealing documentary, Taylor Swift embraces her role as a songwriter and performer &mdash; and as a woman harnessing the full power of her voice.",1h25m,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABYO40aqpIwcBArt8265_U7iVzbxC1-t45mtAwNVNoMQFQwSRE-eHZZm3CQdH1_TfsVUvToC5u0lSMH6IYRVEBgjjQOwrWV126UXOqhscg9CEOcMw7HH1-aJOZRQ.jpg?r=a00,7.7,92.0,93.0
80244780,Luna Nera,series,2020,"In 17th-century Italy, a teenager learns about her destiny among a family of witches, just as her boyfriend's father hunts her down for witchcraft.",,https://occ-0-1952-2433.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABZ-eNhO_rZthMMpnawmay1GexE_8DGx8XA2JVhq32CiT78HKOpx5y1X_rMNBpCxVvjeCxM1NQZZWdpSqKLmi7Xx-nQSVpI7wK6XFBz4NisAF5j4-ADSM6uxG2sU.jpg?r=ede,0.0,,
80232926,Ragnarok,series,2020,"In a Norwegian town poisoned by pollution and rattled by melting glaciers, the End Times feel all too real. It'll take a legend to battle an old evil.",,https://occ-0-1952-2433.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABYS8Bdo7CnW_6mfQO6OCBVTM4MoR8KPAVKUiwBVgGyKhq2CbLBMVFFXthk4_5U607BvehcUqfS0CKfmlWhQy2GhqdByYYQ-sSpryrt6Zk9CONyk7bZjjT1eSlrE.jpg?r=8ac,0.0,,
81229197,Hakkunde,movie,2017,A perpetually unemployed graduate desperately leaves his city for a potential opportunity until a roadblock threatens to derail his chance at a career.,1h32m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABc9tlGA0LgpNZZuJgVdw4AP2DjZvElxON6HuFZztDD_bunSm8mDIE-wezc5ATv4dvRQExdl4dKXQfqiWYv9R1z__fg.jpg?r=fde,7.6,,
